date,desc,language,new_stars,times_listed,total_start,trending_type,gh_archived,gh_created_at,gh_data_collected_at,gh_default_branch,gh_description,gh_fork,gh_forks_count,gh_full_name,gh_language,gh_name,gh_network_count,gh_open_issues_count,gh_owner_login,gh_owner_type,gh_size,gh_stargazers_count,gh_subscribers_count,gh_url,gh_watchers,gh_watchers_count
2018-06-01,KDD CUP 2018,Python,9,0,12,new_repo,False,1527844703,1550936870,master,KDD CUP 2018,False,33,12190143/KDD_CUP_2018,Python,KDD_CUP_2018,33.0,1,12190143,User,19156,78,8.0,https://api.github.com/repos/12190143/KDD_CUP_2018,78,78
2018-06-10,A quick and powerful plugin for your pull-to-refresh needs in your webapp.,JavaScript,95,6,2722,repeat_repo,False,1478218900,1550936985,master,A quick and powerful plugin for your pull-to-refresh needs in your webapp.,False,229,BoxFactura/pulltorefresh.js,JavaScript,pulltorefresh.js,229.0,0,BoxFactura,Organization,1951,3379,52.0,https://api.github.com/repos/BoxFactura/pulltorefresh.js,3379,3379
2018-06-05,Create your own R Archive Network,R,15,0,16,new_repo,False,1528184582,1550936936,master,Create your own R Archive Network,False,3,ColinFay/craneur,HTML,craneur,3.0,0,ColinFay,User,1326,30,4.0,https://api.github.com/repos/ColinFay/craneur,30,30
2018-06-01,Repositório de código de demonstrações da Maratona Kubernetes 🇧🇷,TypeScript,24,0,28,new_repo,False,1527860603,1550936863,master,Repositório de código de demonstrações da Maratona Kubernetes 🇧🇷,False,53,CommunityBootcamp/Maratona-Kubernetes,TypeScript,Maratona-Kubernetes,53.0,0,CommunityBootcamp,Organization,4704,123,20.0,https://api.github.com/repos/CommunityBootcamp/Maratona-Kubernetes,123,123
2018-06-11,A curated list of software and architecture related design patterns.,,1358,0,2217,repeat_repo,False,1528134468,1550936996,master,A curated list of software and architecture related design patterns.,False,565,DovAmir/awesome-design-patterns,,awesome-design-patterns,565.0,1,DovAmir,User,78,8849,419.0,https://api.github.com/repos/DovAmir/awesome-design-patterns,8849,8849
2018-06-10,Freely available programming books,,165,0,106587,repeat_repo,False,1381474237,1550936995,master,:books: Freely available programming books,False,29583,EbookFoundation/free-programming-books,,free-programming-books,29583.0,27,EbookFoundation,Organization,4607,117670,8038.0,https://api.github.com/repos/EbookFoundation/free-programming-books,117670,117670
2018-06-02,🦔 A Webpack plugin to inline your critical CSS and lazy-load the rest.,JavaScript,144,2,789,repeat_repo,False,1527703261,1550936858,master,🦔 A Webpack plugin to inline your critical CSS and lazy-load the rest.,False,50,GoogleChromeLabs/critters,JavaScript,critters,50.0,7,GoogleChromeLabs,Organization,201,2051,33.0,https://api.github.com/repos/GoogleChromeLabs/critters,2051,2051
2018-06-01,📰 Painless universal pre-rendering for Webpack.,JavaScript,346,2,1037,repeat_repo,False,1527703478,1550936879,master,📰 Painless universal pre-rendering for Webpack.,False,41,GoogleChromeLabs/prerender-loader,JavaScript,prerender-loader,41.0,9,GoogleChromeLabs,Organization,74,1727,20.0,https://api.github.com/repos/GoogleChromeLabs/prerender-loader,1727,1727
2018-06-11,逐行级别的源码分析,JavaScript,418,3,1014,repeat_repo,False,1503324722,1550936973,master,📖逐行级别的源码分析,False,370,HcySunYang/vue-design,JavaScript,vue-design,370.0,21,HcySunYang,User,3037,3397,151.0,https://api.github.com/repos/HcySunYang/vue-design,3397,3397
2018-06-01,Symfony bundle to define variables and inject them into application parts,PHP,9,0,11,new_repo,False,1527848045,1550936868,master,Symfony bundle to define variables and inject them into application parts,False,10,HelisLT/settings-manager-bundle,PHP,settings-manager-bundle,10.0,8,HelisLT,Organization,237,15,5.0,https://api.github.com/repos/HelisLT/settings-manager-bundle,15,15
